itemID	zoteroKey	itemType	title	authors	date	DOI	collections	attachment_count	attachment_available_count	attachment_paths
53	T658F7J2	journalArticle	Multilevel Operation Strategy of a Vascular Interventional Robot System for Surgical Safety in Teleoperation	Xianqiang Bao; Shuxiang Guo; Yangming Guo; Cheng Yang; Liwei Shi; Youxiang Li; Yuhua Jiang	2022-08	10.1109/TRO.2022.3140887	血管介入 / 安全方法	3	2	C:\Users\Sui\Zotero\storage\TLSC32GD\Bao 等 - 2022 - Multilevel Operation Strategy of a Vascular Interventional Robot System for Surgical Safety in Teleo.pdf [缺失] | C:\Users\Sui\Zotero\storage\J6BU65QA\Bao 等 - 2022 - Multilevel Operation Strategy of a Vascular Interventional Robot System for Surgical Safety in Teleo-mono.pdf [可用] | C:\Users\Sui\Zotero\storage\3XUCUEDK\Bao 等 - 2022 - Multilevel Operation Strategy of a Vascular Interventional Robot System for Surgical Safety in Teleo-dual.pdf [可用]
82	VSKZAAMG	thesis	刚柔可控血管介入机器人的主从控制系统与触觉反馈研究	何城彬	2020	10.27356/d.cnki.gtjdu.2020.002825	血管介入 / 硕士毕业论文	1	1	C:\Users\Sui\Zotero\storage\7F2GKKUY\刚柔可控血管介入机器人的主从控制系统与触觉反馈研究_何城彬.pdf [可用]
163	2UK4KYIQ	journalArticle	Transferring Virtual Surgical Skills to Reality: AI Agents Mastering Surgical Decision-Making in Vascular Interventional Robotics	Ziyang Mei; Jiayi Wei; Si Pan; Haoyun Wang; Dezhi Wu; Yang Zhao; Gang Liu; Shuxiang Guo	2025-04	10.1109/TMECH.2024.3420954	血管介入 / 智能方法	1	1	C:\Users\Sui\Zotero\storage\KXCKWFLH\Mei 等 - 2025 - Transferring Virtual Surgical Skills to Reality AI Agents Mastering Surgical Decision-Making in Vas.pdf [可用]
165	EJITE629	conferencePaper	Design of an Autonomous Delivery System for Vascular Intervention Robots Based on Curvature Variation	Sheng Cao; Shuxiang Guo; Jian Guo; Jian Wang; Chunying Li; Huiyin Xu; Bin Wang; Mingchao Ding	2025-08	10.1109/ICMA65362.2025.11120695	血管介入 / 安全方法	1	1	C:\Users\Sui\Zotero\storage\BR88E2RX\Cao 等 - 2025 - Design of an Autonomous Delivery System for Vascular Intervention Robots Based on Curvature Variatio.pdf [可用]
169	4HXTDZZN	journalArticle	A Deep Reinforcement Learning Approach for Autonomous Guidewire Navigation in Vascular Interventional Surgery	Chong Yang; Shuxiang Guo; Haoyu Xie; Weihao Wu; Sihan Gao; Chunying Li; Yudi Zhou			血管介入 / 智能方法	1	1	C:\Users\Sui\Zotero\storage\U8ADYL23\Yang 等 - A Deep Reinforcement Learning Approach for Autonomous Guidewire Navigation in Vascular Interventiona.pdf [可用]
180	M2QJRRAP	conferencePaper	Design and Implementation of a Plaque Detachment Prediction System Based on Guidewire Curvature Analysis	Yining Shang; Shuxiang Guo; Sheng Chao	2025-08	10.1109/ICMA65362.2025.11120652	血管介入 / 安全方法	1	1	C:\Users\Sui\Zotero\storage\MMFS2W3C\Shang 等 - 2025 - Design and Implementation of a Plaque Detachment Prediction System Based on Guidewire Curvature Anal.pdf [可用]
182	J6NI495Y	conferencePaper	A Novel Method for Extracting Surgical Operating Skills Through a Vascular Interventional Surgery Robot	Jintao Luo; Shuxiang Guo; Yonggan Yan; Bingzhi Shen; Bin Wang; Mingchao Ding	2025-08	10.1109/ICMA65362.2025.11120683	血管介入 / 智能方法	1	1	C:\Users\Sui\Zotero\storage\8HEHEI9A\Luo 等 - 2025 - A Novel Method for Extracting Surgical Operating Skills Through a Vascular Interventional Surgery Ro.pdf [可用]
184	HXT5W97D	conferencePaper	Study on Path Planning Strategy for Vascular Interventional Surgery Based on Visual Information	Zimeng He; Chong Yang; Shuxiang Guo; Weihao Wu; Haoyu Xie; Chunying Li	2025-08	10.1109/ICMA65362.2025.11120769	血管介入 / 智能方法	1	1	C:\Users\Sui\Zotero\storage\GMMA2QVV\He 等 - 2025 - Study on Path Planning Strategy for Vascular Interventional Surgery Based on Visual Information.pdf [可用]
190	BGIPH7LG	conferencePaper	Autonomous Path Planning for Vascular Interventional Surgical Robots: From Virtual Simulation to Physical Validation	Weihao Wu; Chong Yang; Shuxiang Guo; Haoyu Xie; Sheng Cao; Chunying Li	2025-08	10.1109/ICMA65362.2025.11120787	血管介入 / 智能方法	1	1	C:\Users\Sui\Zotero\storage\2LPV37G9\Wu 等 - 2025 - Autonomous Path Planning for Vascular Interventional Surgical Robots From Virtual Simulation to Phy.pdf [可用]
232	A24CFNAH	journalArticle	Autonomous Navigation for Robot-Assisted Intraluminal and Endovascular Procedures: A Systematic Review	Ameya Pore; Zhen Li; Diego Dall'Alba; Albert Hernansanz; Elena De Momi; Arianna Menciassi; Alicia Casals Gelpí; Jenny Dankelman; Paolo Fiorini; Emmanuel Vander Poorten	2023-08	10.1109/TRO.2023.3269384	血管介入 / 智能方法	1	1	C:\Users\Sui\Zotero\storage\IECUVN7I\Pore 等 - 2023 - Autonomous Navigation for Robot-Assisted Intraluminal and Endovascular Procedures A Systematic Revi.pdf [可用]
234	HCB52SL8	journalArticle	Learning-based endovascular navigation through the use of non-rigid registration for collaborative robotic catheterization	Wenqiang Chi; Jindong Liu; Hedyeh Rafii-Tari; Celia Riga; Colin Bicknell; Guang-Zhong Yang	2018-06	10.1007/s11548-018-1743-5	血管介入 / 智能方法	1	1	C:\Users\Sui\Zotero\storage\F4P2BC7N\Chi 等 - 2018 - Learning-based endovascular navigation through the use of non-rigid registration for collaborative r.pdf [可用]
236	VFMTP4KT	journalArticle	Technical and Clinical Progress on Robot-Assisted Endovascular Interventions: A Review	Wenke Duan; Toluwanimi Akinyemi; Wenjing Du; Jun Ma; Xingyu Chen; Fuhao Wang; Olatunji Omisore; Jingjing Luo; Hongbo Wang; Lei Wang	2023-01	10.3390/mi14010197	血管介入 / 综述	1	1	C:\Users\Sui\Zotero\storage\WDBU56B2\Duan 等 - 2023 - Technical and Clinical Progress on Robot-Assisted Endovascular Interventions A Review.pdf [可用]
238	Y5DKLPVI	journalArticle	Haptic Interface With Force and Torque Feedback for Robot-Assisted Endovascular Catheterization	Xianqiang Bao; Shuxiang Guo; Cheng Yang; Lingling Zheng	2024-04	10.1109/TMECH.2023.3290492	血管介入 / 传感方法 | 血管介入 / 小论文真正有用的	4	4	C:\Users\Sui\Zotero\storage\3KBQK9W7\Bao 等 - 2024 - Haptic Interface With Force and Torque Feedback for Robot-Assisted Endovascular Catheterization.pdf [可用] | C:\Users\Sui\Zotero\storage\ZT6FUDUJ\Bao 等 - 2024 - Haptic Interface With Force and Torque Feedback for Robot-Assisted Endovascular Catheterization-mono.pdf [可用] | C:\Users\Sui\Zotero\storage\57VVQS6C\Bao 等 - 2024 - Haptic Interface With Force and Torque Feedback for Robot-Assisted Endovascular Catheterization-dual.pdf [可用] | C:\Users\Sui\Zotero\storage\TGBEC4P7\Bao 等 - 2024 - Haptic Interface With Force and Torque Feedback for Robot-Assisted Endovascular Catheterization-mono-cut.pdf [可用]
240	CDYRAL93	conferencePaper	An enhanced dual-finger robotic Hand for Catheter manipulating in vascular intervention: A preliminary study	Gui-Bin Bian; Xiao-Liang Xie; Zhen-Qiu Feng; Zeng-Guang Hou; Peng Wei; Long Cheng; Min Tan	2013-08	10.1109/ICInfA.2013.6720323	血管介入 / 夹持机构	1	1	C:\Users\Sui\Zotero\storage\9PMB7U2G\Bian 等 - 2013 - An enhanced dual-finger robotic Hand for Catheter manipulating in vascular intervention A prelimina.pdf [可用]
242	BVE7V6WP	journalArticle	Transferring Virtual Surgical Skills to Reality: AI Agents Mastering Surgical Decision-Making in Vascular Interventional Robotics	Ziyang Mei; Jiayi Wei; Si Pan; Haoyun Wang; Dezhi Wu; Yang Zhao; Gang Liu; Shuxiang Guo	2025-04	10.1109/TMECH.2024.3420954	血管介入 / 智能方法	1	1	C:\Users\Sui\Zotero\storage\BN2DX3AS\Mei 等 - 2025 - Transferring Virtual Surgical Skills to Reality AI Agents Mastering Surgical Decision-Making in Vas.pdf [可用]
246	L3WSPUBM	journalArticle	Performance Investigation and Improvement of a Two-DOF Inertial Piezoelectric Robotic Insertion Device for Capillary Micropuncture	Xiang Gao; Jie Deng; Qingbing Chang; Shijing Zhang; Jing Li; Junkao Liu; Yingxiang Liu	2025-06	10.1109/TMECH.2024.3435843	血管介入 / 夹持机构	1	1	C:\Users\Sui\Zotero\storage\EJKUBQFK\Gao 等 - 2025 - Performance Investigation and Improvement of a Two-DOF Inertial Piezoelectric Robotic Insertion Devi.pdf [可用]
248	U5PLYFK4	journalArticle	Endovascular intervention robot with multi-manipulators for surgical procedures: Dexterity, adaptability, and practicability	Kundong Wang; Qingsheng Lu; Bin Chen; Yu Shen; Hongbing Li; Manhua Liu; Zhuoyan Xu	2019-04	10.1016/j.rcim.2018.09.004	血管介入 / 夹持机构	2	2	C:\Users\Sui\Zotero\storage\FVDDQVQU\S0736584517302661.html [可用] | C:\Users\Sui\Zotero\storage\55W46KVM\Wang 等 - 2019 - Endovascular intervention robot with multi-manipulators for surgical procedures Dexterity, adaptabi.pdf [可用]
251	HY3ZWRCG	journalArticle	Design and Performance Evaluation of a Remote Catheter Navigation System	Yogesh Thakur; Jeffrey S. Bax; David W. Holdsworth; Maria Drangova	2009-07	10.1109/TBME.2009.2017203	血管介入 / 夹持机构	1	1	C:\Users\Sui\Zotero\storage\T8QFUJKS\Thakur 等 - 2009 - Design and Performance Evaluation of a Remote Catheter Navigation System.pdf [可用]
253	HI7NWEFQ	journalArticle	Design and Development of Surgeon Augmented Endovascular Robotic System	Naveen Kumar Sankaran; Pramod Chembrammel; Adnan Siddiqui; Kenneth Snyder; Thenkurussi Kesavadas	2018-11	10.1109/TBME.2018.2800639	血管介入 / 传感方法	1	1	C:\Users\Sui\Zotero\storage\XI4WZFQI\Sankaran 等 - 2018 - Design and Development of Surgeon Augmented Endovascular Robotic System.pdf [可用]
255	VZ3VN9AA	journalArticle	A novel robotic system for vascular intervention: principles, performances, and applications	Hao Shen; Cheng Wang; Le Xie; Shoujun Zhou; Lixu Gu; Hongzhi Xie	2019-04	10.1007/s11548-018-01906-w	血管介入 / 硕士毕业论文	1	1	C:\Users\Sui\Zotero\storage\JB6V7DWU\Shen 等 - 2019 - A novel robotic system for vascular intervention principles, performances, and applications.pdf [可用]
